# 1 yaw   2 pitch   3 maxang   4 error   5 righterror   6 downerror
35 75 77.759705  0.999995  0.999996  0.999867 
35 80 81.822266  0.999982  0.999888  0.999598 

40 5 40.259136  0.916340  0.915977  0.998850 
40 10 41.026455  0.996079  0.996111  0.998742 
40 15 42.273514  0.938115  0.933606  0.984311 
40 20 43.958202  0.981749  0.982319  0.996273 
40 25 46.030758  0.995515  0.995724  0.998556 
40 30 48.439240  0.997516  0.997651  0.998996 
40 35 51.133575  0.998525  0.998570  0.999440 
40 40 54.068039  0.999198  0.999240  0.999572 
40 45 57.202248  0.999911  0.999918  0.999952 
40 50 60.501297  0.999973  0.999961  0.999938 
40 55 63.935349  0.999994  0.999996  0.999961 
40 60 67.478989  0.999995  0.999988  0.999902 
40 65 71.110481  0.999425  0.999521  0.999422 
40 70 74.811073  0.999959  0.999947  0.999927 
40 75 78.564369  0.999895  0.999890  0.999893 
40 80 82.355728  0.999817  0.999868  0.999698 

45 5 45.217613  0.999051  0.999067  0.999680 
45 10 45.863968  0.000000  0.991905  -0.984099 
45 15 46.920483  0.974641  0.973289  0.994619 
45 20 48.358856  0.979779  0.979588  0.994814 
45 25 50.144287  0.978760  0.978767  0.992889 
45 30 52.238758  0.986674  0.986683  0.994074 
45 35 54.603745  0.995705  0.995820  0.997902 
45 40 57.202248  0.996772  0.996833  0.997844 
45 45 60.000000  0.998410  0.998454  0.998932 
45 50 62.965984  0.999476  0.999489  0.999665 
45 55 66.072540  0.999987  0.999987  0.999936 
45 60 69.295197  0.999956  0.999957  0.999967 
45 65 72.612289  0.999980  0.999980  0.999987 
45 70 76.004555  0.999761  0.999760  0.999769 
45 75 79.454712  0.999398  0.999395  0.999354 
45 80 82.946976  0.999884  0.999884  0.999826 

50 5 50.182701  0.997965  0.997965  0.999990 
50 10 50.726547  0.000000  0.993929  -0.958090 
50 15 51.619194  0.000000  0.992857  -0.928086 
50 20 52.841442  0.855933  0.840814  0.963762 
50 25 54.368954  0.970037  0.967459  0.988019 
50 30 56.174152  0.989830  0.985828  0.987300 
50 35 58.227970  0.989036  0.988077  0.992884 
50 40 60.501293  0.995337  0.990604  0.978146 
50 45 62.965981  0.996116  0.995772  0.996636 
50 50 65.595497  0.999502  0.999478  0.999552 
50 55 68.365288  0.999596  0.999606  0.999639 
50 60 71.252762  0.999997  0.999999  0.999972 
50 65 74.237305  0.999987  0.999987  0.999991 
50 70 77.299995  0.999655  0.999556  0.999468 
50 75 80.423424  0.999933  0.999891  0.999739 
50 80 83.591354  0.999865  0.999908  0.999749 

55 5 55.152519  0.000000  0.992898  -0.912310 
55 10 55.607254  0.972479  0.971645  0.997593 
55 15 56.355911  0.000000  0.994862  -0.944535 
55 20 57.385391  0.887860  0.869888  0.964810 
55 25 58.678696  0.922597  0.905019  0.962947 
55 30 60.215992  0.961271  0.937763  0.961732 
55 35 61.975681  0.978913  0.973670  0.983299 
55 40 63.935349  0.985255  0.981930  0.987517 
55 45 66.072533  0.993851  0.992264  0.993743 
55 50 68.365288  0.998308  0.997956  0.998110 
55 55 70.792526  0.998439  0.997996  0.998309 
55 60 73.334236  0.999982  0.999984  0.999982 
55 65 75.971542  1.000000  0.999993  0.999958 
55 70 78.686646  0.999866  0.999751  0.999657 
55 75 81.462746  0.999935  0.999976  0.999871 
55 80 84.283836  0.999988  0.999999  0.999936 

60 5 60.125805  0.578668  0.081681  0.020340 
60 10 60.501297  0.000000  -0.031554  0.031675 
60 15 61.120907  0.000000  -0.026796  0.025905 
60 20 61.975685  0.000000  0.992813  -0.836553 
60 25 63.053787  0.000000  0.994214  -0.793929 
60 30 64.341095  0.000000  0.993209  -0.814372 
60 35 65.821800  0.952761  0.873712  0.902144 
60 40 67.478989  0.970786  0.950950  0.962294 
60 45 69.295189  0.988894  0.982779  0.985935 
60 50 71.252769  0.999514  0.996365  0.989158 
